epoch,train_loss,dev_loss
0,1.5326667717665854,1.5359222857227746
10,1.2614206261654932,1.2803919251063618
20,1.2339222445136577,1.2593060160443583
30,1.2259951869522867,1.249067026068373
40,1.2160119795191509,1.2413484550510898
50,1.1922307767861058,1.2133132199890138
60,1.1728315008012022,1.196085748312408
70,1.1766013046966586,1.1989801103371838
80,1.1356251462196427,1.156063423909443
90,1.1199039781542544,1.1422527382048802
100,1.107635811683645,1.1297053730756514
110,1.1000420895842473,1.122518242836264
120,1.0955195244728915,1.1178974822929246
130,1.0938826830948836,1.1163143759630199
140,1.0909857006066899,1.113461545742228
150,1.0892651338189452,1.1117550504404663
160,1.0892859236049857,1.1119131656309822
170,1.0874459746661107,1.1101368878915747
180,1.0860044486245761,1.1087266566506804
190,1.0848562820407814,1.1076552541058464
200,1.0838966159056584,1.106709917423488
210,1.0834103907209918,1.1062981453699894
220,1.083067605542222,1.1059606459139169
230,1.0826341387063727,1.1055302741924276
240,1.0822622899836778,1.1051834425530096
250,1.0818786995640275,1.1048224315810526
260,1.0815466684698583,1.1045105316527712
270,1.0812693372994535,1.1042599375459174
280,1.0810486207346839,1.1040636036626459
290,1.080778074142555,1.1038235897333974
300,1.0803700408924837,1.1034688264955104
310,1.0800565890833154,1.1031679427673957
320,1.0800967006285815,1.1032261970723065
330,1.0795834587342565,1.1027463616088966
340,1.0793855907341554,1.1025844623845347
350,1.079086722718759,1.1023212108545983
360,1.0788815102778178,1.1021343451487668
370,1.0785970349254053,1.1018809546074657
380,1.0785360079871926,1.101828277337856
390,1.0782024499877094,1.1015196899856274
400,1.078023439892373,1.101336132747398
