ts_recv,price,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,weighted_mid,rv_60s,ret_60s
2025-08-08 08:01:00+00:00,633.66,633.65,633.7,200,200,633.675,5.45661711775065e-08,-1.2310333568632537e-05
2025-08-08 08:02:00+00:00,633.66,633.62,633.68,1,200,633.6202985074626,6.202923237804505e-08,0.00023662585273287462
2025-08-08 08:03:00+00:00,633.85,633.81,633.85,1,100,633.8103960396039,4.363358251067336e-08,-0.00018133859637770033
2025-08-08 08:04:00+00:00,633.72,633.69,633.75,19,200,633.695205479452,5.984085274885718e-08,0.00020219161005696762
2025-08-08 08:05:00+00:00,633.84,633.79,633.85,300,100,633.835,2.4950429262334507e-08,-9.418550336903753e-05
2025-08-08 08:06:00+00:00,633.79,633.75,633.8,120,320,633.7636363636364,2.5748015284883228e-08,0.00021516481624916928
2025-08-08 08:07:00+00:00,633.9,633.88,633.93,120,630,633.888,3.499667122033081e-08,-0.0001654762541242194
2025-08-08 08:08:00+00:00,633.84,633.77,633.82,120,119,633.7951046025106,3.749400564776105e-08,6.829098860072769e-05
2025-08-08 08:09:00+00:00,633.79,633.78,633.85,100,120,633.8118181818181,2.120038916042579e-08,-2.8357186941607715e-05
2025-08-08 08:10:00+00:00,633.79,633.82,633.88,101,120,633.8474208144796,9.874952078221021e-09,4.694192762255689e-05
2025-08-08 08:11:00+00:00,633.85,633.82,633.88,100,310,633.8346341463415,1.720025919272804e-08,0.0001595619566758799
2025-08-08 08:12:00+00:00,633.92,633.92,633.98,120,110,633.9513043478261,6.595072982412529e-09,-1.9687345587326988e-05
2025-08-08 08:13:00+00:00,633.92,633.9,633.96,220,120,633.9388235294118,6.922195846801419e-09,-6.031385474170037e-06
2025-08-08 08:14:00+00:00,633.97,633.91,633.96,320,120,633.9463636363637,5.783617797588762e-09,6.448981826401301e-05
2025-08-08 08:15:00+00:00,633.98,633.95,633.99,220,120,633.9758823529412,1.7971275075651875e-08,-0.00024529636994019555
2025-08-08 08:16:00+00:00,633.88,633.8,633.85,220,320,633.8203703703704,1.3448621252821347e-08,-4.5964532429332294e-05
2025-08-08 08:17:00+00:00,633.82,633.78,633.82,200,2345,633.7831434184675,1.0901662812761846e-08,1.203994419540777e-05
2025-08-08 08:18:00+00:00,633.79,633.78,633.83,200,330,633.7988679245284,1.028378600426149e-08,-2.3758958055841717e-05
2025-08-08 08:19:00+00:00,633.83,633.75,633.84,200,120,633.80625,1.4506309088249848e-08,7.738856422423446e-05
2025-08-08 08:20:00+00:00,633.81,633.8,633.86,100,220,633.81875,7.251961914084341e-09,7.041435758892156e-05
2025-08-08 08:21:00+00:00,633.87,633.86,633.91,220,409,633.8774880763116,1.3177094844800539e-08,5.129054793706622e-05
2025-08-08 08:22:00+00:00,633.9,633.89,633.93,120,120,633.91,9.905408622155232e-09,0.00010189169430119271
2025-08-08 08:23:00+00:00,633.98,633.95,634.0,120,124,633.9745901639344,2.361549762025966e-08,-5.51450087230565e-05
2025-08-08 08:24:00+00:00,633.93,633.92,633.97,120,120,633.9449999999999,7.828620395432426e-09,8.752335873674078e-05
2025-08-08 08:25:00+00:00,634.0,633.97,634.01,110,129,633.988410041841,3.674048600052241e-08,-0.00010234765135963553
2025-08-08 08:26:00+00:00,634.03,633.93,633.96,1,100,633.9302970297028,1.3100578109371037e-08,0.00011795265876357597
2025-08-08 08:27:00+00:00,633.93,633.98,634.03,100,100,634.005,7.505615091679537e-09,-5.653411546813203e-05
2025-08-08 08:28:00+00:00,633.99,633.95,634.0,200,322,633.9691570881226,2.3438515363815375e-08,-3.3085631542806304e-05
2025-08-08 08:29:00+00:00,633.96,633.93,633.97,100,120,633.9481818181818,6.706515380595723e-09,1.864218899472192e-05
2025-08-08 08:30:00+00:00,633.97,633.93,633.99,200,200,633.96,2.5730135933134845e-08,-0.00014708206693980763
2025-08-08 08:31:00+00:00,633.88,633.84,633.89,200,120,633.8712499999999,1.179177010748935e-08,5.674918198850243e-05
2025-08-08 08:32:00+00:00,633.88,633.88,633.93,100,120,633.9027272727272,1.3971955224158625e-08,-0.0001147293892236334
2025-08-08 08:33:00+00:00,633.84,633.81,633.85,100,100,633.83,2.069150451710522e-08,0.00011043970780799661
2025-08-08 08:34:00+00:00,633.92,633.88,633.92,120,120,633.9,1.8628267827148864e-08,-4.876020020361249e-05
2025-08-08 08:35:00+00:00,633.94,633.84,633.88,220,120,633.8658823529413,8.492669051296582e-09,5.019677134354694e-05
2025-08-08 08:36:00+00:00,633.94,633.89,633.93,120,220,633.9041176470587,1.7227745737726186e-08,6.166722358402765e-05
2025-08-08 08:37:00+00:00,633.94,633.92,633.97,120,120,633.9449999999999,1.574381449199017e-08,0.0001161566767142741
2025-08-08 08:38:00+00:00,634.04,633.97,634.03,320,120,634.0136363636364,1.0106040156947693e-08,-9.248438877851317e-05
2025-08-08 08:39:00+00:00,633.94,633.93,633.97,120,120,633.95,8.635315123775739e-09,-0.00016562689780819095
2025-08-08 08:40:00+00:00,633.85,633.83,633.87,120,220,633.8441176470589,1.7957947075791698e-08,4.947420257317425e-05
2025-08-08 08:41:00+00:00,633.88,633.84,633.9,710,320,633.881359223301,8.225035792347e-09,5.8280091303819503e-05
2025-08-08 08:42:00+00:00,633.95,633.91,633.95,11,42,633.9183018867924,1.2408326662422873e-08,-0.00010774556687997983
2025-08-08 08:43:00+00:00,633.91,633.83,633.87,100,100,633.85,1.3014007805278571e-08,-0.00010254792143260527
2025-08-08 08:44:00+00:00,633.79,633.76,633.81,120,120,633.785,1.2557423446057409e-08,4.1783067572520594e-05
2025-08-08 08:45:00+00:00,633.85,633.77,633.84,320,220,633.8114814814815,1.5989314320345987e-08,-2.3852273995594864e-05
2025-08-08 08:46:00+00:00,633.81,633.78,633.84,120,320,633.7963636363636,2.192654201391006e-08,-9.681916761328235e-05
