ts_recv,price,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,weighted_mid,rv_60s,ret_60s
2023-04-17 08:01:00+00:00,413.39,413.37,413.41,400,400,413.39,7.052546650963426e-08,9.676092793742264e-05
2023-04-17 08:02:00+00:00,413.4,413.41,413.45,400,400,413.43,3.654169110211726e-08,-4.837578308292123e-05
2023-04-17 08:03:00+00:00,413.4,413.39,413.43,400,400,413.41,2.292003022151319e-08,-2.994836211256402e-05
2023-04-17 08:04:00+00:00,413.4,413.39,413.43,400,1700,413.39761904761906,2.6787304161127304e-08,0.0001802715015521983
2023-04-17 08:05:00+00:00,413.5,413.47,413.49,100,400,413.474,4.54411527516877e-08,-0.00018657328788773686
2023-04-17 08:06:00+00:00,413.45,413.37,413.42,400,400,413.395,2.592118862083086e-08,-0.00013236063244681517
2023-04-17 08:07:00+00:00,413.37,413.34,413.38,400,1300,413.3494117647059,5.6488999928524326e-08,-0.00012164983294604692
2023-04-17 08:08:00+00:00,413.31,413.27,413.31,400,400,413.29,2.5597421331894028e-08,1.2098042536656806e-05
2023-04-17 08:09:00+00:00,413.3,413.28,413.3,400,400,413.29,3.417327026148367e-08,-6.7605890394562e-05
2023-04-17 08:10:00+00:00,413.26,413.26,413.3,400,1300,413.26941176470586,4.672440693705325e-08,3.131431889924485e-05
2023-04-17 08:11:00+00:00,413.26,413.22,413.26,1400,400,413.25111111111113,1.9352306866848477e-08,-5.449395235745946e-05
2023-04-17 08:12:00+00:00,413.25,413.25,413.3,299,1700,413.2574787393697,1.58994026930471e-08,0.00021844187840391882
2023-04-17 08:13:00+00:00,413.36,413.33,413.36,400,276,413.34775147928997,1.783091769555512e-08,2.5600366774680694e-05
2023-04-17 08:14:00+00:00,413.35,413.35,413.36,1500,400,413.3578947368421,3.941972747308816e-08,-0.00023520082790695618
2023-04-17 08:15:00+00:00,413.35,413.26,413.31,1000,400,413.29571428571427,3.1706945445702046e-08,0.00011292295696829768
2023-04-17 08:16:00+00:00,413.29,413.28,413.33,500,400,413.3077777777778,2.285308712653836e-08,-2.8496385529264145e-05
2023-04-17 08:17:00+00:00,413.27,413.27,413.32,400,400,413.295,2.3324727595741206e-08,-2.4195733807630404e-06
2023-04-17 08:18:00+00:00,413.31,413.28,413.31,400,400,413.295,4.917481872970578e-08,5.499043716383767e-06
2023-04-17 08:19:00+00:00,413.36,413.27,413.3,600,13,413.2993637846656,3.3781823827115805e-08,6.30553545359902e-05
2023-04-17 08:20:00+00:00,413.32,413.3,413.33,600,400,413.318,2.112200751983582e-08,-0.00011693831302372892
2023-04-17 08:21:00+00:00,413.26,413.26,413.29,400,400,413.275,5.485881824239638e-08,-0.00023563233290413432
2023-04-17 08:22:00+00:00,413.18,413.17,413.2,400,800,413.18,3.2812410063158503e-08,-4.14902849344978e-05
2023-04-17 08:23:00+00:00,413.16,413.14,413.17,1,400,413.1400748129676,4.183442217817006e-08,0.0001384840044325042
2023-04-17 08:24:00+00:00,413.26,413.21,413.23,1000,400,413.2242857142857,2.995193335779837e-08,-0.00010331674680685854
2023-04-17 08:25:00+00:00,413.24,413.16,413.19,400,400,413.175,2.3609862834523088e-08,0.00016941973739936778
2023-04-17 08:26:00+00:00,413.24,413.23,413.26,400,400,413.245,1.3444628913278758e-08,4.932815977110039e-05
2023-04-17 08:27:00+00:00,413.27,413.25,413.29,500,800,413.2653846153846,2.1525835683549822e-08,1.654531710659768e-05
2023-04-17 08:28:00+00:00,413.29,413.22,413.26,1500,400,413.25157894736844,2.4934742249698045e-08,-0.000151983254956356
2023-04-17 08:29:00+00:00,413.23,413.18,413.21,500,10,413.20941176470586,8.3874126550041e-09,5.2981811393681966e-05
2023-04-17 08:30:00+00:00,413.24,413.19,413.24,1900,400,413.2313043478261,3.683668635482743e-08,-0.0001483535907881306
2023-04-17 08:31:00+00:00,413.24,413.15,413.19,400,900,413.1623076923077,2.8446576376223872e-08,-0.00013311711886154765
2023-04-17 08:32:00+00:00,413.11,413.1,413.13,400,400,413.115,1.8493289045605923e-08,-6.0455245418200576e-05
2023-04-17 08:33:00+00:00,413.08,413.07,413.11,400,399,413.0900250312891,1.924888186162184e-08,2.414720304644291e-05
2023-04-17 08:34:00+00:00,413.11,413.09,413.12,400,800,413.1,3.251963176748954e-08,8.299616142748434e-05
2023-04-17 08:35:00+00:00,413.05,413.12,413.14,1000,400,413.13428571428574,2.3381078085375863e-08,-0.0002604941089142665
2023-04-17 08:36:00+00:00,413.07,413.01,413.05,500,500,413.03,1.4449077804824366e-08,-5.24582754947156e-05
2023-04-17 08:37:00+00:00,413.0,412.99,413.03,400,1300,412.9994117647059,1.2421450541851953e-08,0.0002359172120909303
2023-04-17 08:38:00+00:00,413.07,413.07,413.11,1715,400,413.10243498817965,1.4310880263230202e-08,-0.00015299890195685784
2023-04-17 08:39:00+00:00,413.03,413.02,413.07,600,800,413.0414285714286,3.301922973147019e-08,0.00024935029246409
2023-04-17 08:40:00+00:00,413.1,413.11,413.15,500,500,413.13,2.3510497384947526e-08,6.723538840347487e-06
2023-04-17 08:41:00+00:00,413.1,413.13,413.16,400,400,413.145,1.1013838920423864e-08,2.8663314969756826e-05
2023-04-17 08:42:00+00:00,413.17,413.12,413.17,1400,500,413.15684210526314,2.479550836197915e-08,-7.707026005154827e-05
2023-04-17 08:43:00+00:00,413.16,413.11,413.16,500,400,413.1377777777778,1.3759711794129161e-08,-8.746039448515042e-05
2023-04-17 08:44:00+00:00,413.09,413.08,413.09,400,24,413.0894339622642,1.4405554811876974e-08,-2.1346615465267504e-05
2023-04-17 08:45:00+00:00,413.13,413.08,413.1,1,400,413.0800498753117,1.2604261765172158e-08,-4.954618840724567e-05
2023-04-17 08:46:00+00:00,413.08,413.02,413.07,1900,500,413.0595833333333,2.094470519089722e-08,-9.600981703561384e-05
2023-04-17 08:47:00+00:00,413.05,413.01,413.04,400,400,413.025,3.657246592177993e-08,0.00020194612864732342
2023-04-17 08:48:00+00:00,413.03,413.09,413.12,400,500,413.10333333333335,1.1661857219752226e-08,-5.7757096584731826e-05
2023-04-17 08:49:00+00:00,413.03,413.04,413.09,1500,400,413.07947368421054,1.6014526885407645e-08,6.179516876447799e-05
2023-04-17 08:50:00+00:00,413.1,413.09,413.12,400,400,413.105,2.3978279657554378e-08,0.00016834813073063337
2023-04-17 08:51:00+00:00,413.19,413.16,413.2,400,700,413.17454545454547,1.5398123714169347e-08,-7.150840938896508e-05
2023-04-17 08:52:00+00:00,413.17,413.13,413.16,400,400,413.145,1.7895265861965252e-08,-4.8409154171036306e-05
2023-04-17 08:53:00+00:00,413.14,413.11,413.14,400,400,413.125,1.6476185035049652e-08,-6.051437216336719e-05
2023-04-17 08:54:00+00:00,413.14,413.07,413.09,50,400,413.0722222222222,2.9135286482887654e-08,-0.00010893246187371197
2023-04-17 08:55:00+00:00,413.06,413.04,413.07,400,400,413.055,1.0600720152366864e-08,-2.5554842710051595e-05
2023-04-17 08:56:00+00:00,413.03,413.03,413.05,1300,500,413.0444444444444,3.100734462805977e-08,6.18712003013222e-05
2023-04-17 08:57:00+00:00,413.06,413.05,413.09,400,400,413.07,1.5517452303396115e-08,0.0
2023-04-17 08:58:00+00:00,413.06,413.05,413.09,400,400,413.07,1.4059812601391397e-08,-4.750439758260949e-05
2023-04-17 08:59:00+00:00,413.06,413.05,413.07,25,1300,413.05037735849055,1.7843788632296674e-08,1.776424041199931e-06
2023-04-17 09:00:00+00:00,413.04,413.02,413.06,1400,400,413.0511111111111,1.6703172670671495e-08,2.3720986421338353e-05
2023-04-17 09:01:00+00:00,413.04,413.06,413.09,50,400,413.06333333333333,1.692731684204577e-08,6.43752737323755e-05
2023-04-17 09:02:00+00:00,413.04,413.06,413.12,1900,1300,413.095625,5.4762536754922576e-09,1.9087034549780668e-05
2023-04-17 09:03:00+00:00,413.04,413.08,413.13,400,900,413.0953846153846,2.538139985401978e-08,5.15184920351075e-05
2023-04-17 09:04:00+00:00,413.08,413.1,413.12,500,100,413.1166666666667,3.741196556121961e-08,0.00018961552426666195
2023-04-17 09:05:00+00:00,413.21,413.18,413.21,400,400,413.195,1.4762954966434894e-08,-5.980262328331154e-05
2023-04-17 09:06:00+00:00,413.17,413.17,413.19,25,1700,413.17028985507244,3.314363685338424e-08,-0.000145759294335579
2023-04-17 09:07:00+00:00,413.13,413.1,413.13,202,400,413.1100664451827,1.4881855565592247e-08,-0.00015145224061252627
2023-04-17 09:08:00+00:00,413.07,413.04,413.08,300,1300,413.0475,1.1029062998673486e-08,6.351465122289568e-06
2023-04-17 09:09:00+00:00,413.0,413.05,413.06,5,400,413.0501234567901,5.55232446441343e-08,0.00014765194550858673
2023-04-17 09:10:00+00:00,413.17,413.08,413.12,1400,400,413.1111111111111,2.0889560778059993e-08,-6.320602474452208e-05
2023-04-17 09:11:00+00:00,413.1,413.06,413.11,400,400,413.085,5.3503298664045855e-09,-2.42080927653765e-05
2023-04-17 09:12:00+00:00,413.07,413.06,413.09,400,400,413.075,3.3464190648151215e-08,0.0
2023-04-17 09:13:00+00:00,413.09,413.06,413.1,400,1300,413.0694117647059,2.03127944619111e-08,-5.991232525048851e-05
2023-04-17 09:14:00+00:00,413.05,413.05,413.07,11,400,413.05053527980533,3.2461203933364356e-08,5.9915914952357596e-05
2023-04-17 09:15:00+00:00,413.05,413.06,413.1,400,1300,413.0694117647059,3.9331590089574964e-08,-0.0001546665590724805
2023-04-17 09:16:00+00:00,413.0,413.0,413.02,500,400,413.0111111111111,3.2941491326572055e-08,-0.0002569207177639532
2023-04-17 09:17:00+00:00,412.91,412.87,412.9,400,1300,412.8770588235294,5.78312832468351e-08,5.971783988290014e-05
2023-04-17 09:18:00+00:00,412.9,412.9,412.93,1300,15,412.9296577946768,6.782998114857428e-08,-0.00012563887315841793
2023-04-17 09:19:00+00:00,412.9,412.89,412.92,400,400,412.905,4.5752498445737766e-08,0.00017007992680095896
2023-04-17 09:20:00+00:00,412.95,412.94,412.95,400,100,412.948,9.431736389524224e-09,-5.5697085347250486e-05
2023-04-17 09:21:00+00:00,412.92,412.91,412.94,400,400,412.925,2.2187846972674122e-08,7.265241872000949e-05
2023-04-17 09:22:00+00:00,412.91,412.94,412.97,400,400,412.955,1.783719248899039e-08,-7.937372783417551e-05
2023-04-17 09:23:00+00:00,412.91,412.9,412.94,500,400,412.9222222222222,8.56322552658839e-09,-0.0001022522401312731
2023-04-17 09:24:00+00:00,412.91,412.86,412.9,400,400,412.88,1.0100165529713647e-08,0.00010899050571588909
2023-04-17 09:25:00+00:00,412.9,412.89,412.92,400,400,412.905,1.8020053545153944e-08,-6.169689526225319e-05
2023-04-17 09:26:00+00:00,412.9,412.89,412.94,400,1700,412.8995238095238,7.238745066143857e-09,1.3262767720290114e-05
2023-04-17 09:27:00+00:00,412.94,412.89,412.92,400,400,412.905,1.2193059128443745e-08,5.249105664129061e-06
2023-04-17 09:28:00+00:00,412.92,412.89,412.92,400,299,412.9071673819742,1.7102766928215982e-08,0.0002234022318299278
2023-04-17 09:29:00+00:00,412.92,412.99,413.03,400,1300,412.9994117647059,1.3448208717747805e-08,1.3530855335286418e-05
2023-04-17 09:30:00+00:00,413.02,412.99,413.02,400,400,413.005,1.199505654225239e-08,-3.900948199442311e-05
2023-04-17 09:31:00+00:00,413.0,412.95,413.0,1400,307,412.9910076157001,1.8906879334340464e-08,7.527121017436578e-05
2023-04-17 09:32:00+00:00,413.02,413.01,413.05,400,200,413.0366666666667,3.1081303020011365e-08,7.269609091253848e-05
2023-04-17 09:33:00+00:00,413.1,413.03,413.07,400,400,413.05,7.471471543607782e-09,1.2105072025203611e-05
2023-04-17 09:34:00+00:00,413.03,413.04,413.07,400,400,413.055,1.1505530075536795e-08,-8.046215181434224e-05
2023-04-17 09:35:00+00:00,413.05,413.01,413.06,400,1300,413.02176470588233,3.883141315846672e-08,4.415092781040464e-05
2023-04-17 09:36:00+00:00,413.02,413.02,413.06,400,400,413.04,1.0793322191144012e-08,-0.00015673262179272118
2023-04-17 09:37:00+00:00,413.0,412.97,413.02,200,1700,412.97526315789474,1.72372060392906e-08,-1.8509850244430304e-05
2023-04-17 09:38:00+00:00,412.97,412.99,413.02,400,400,413.005,2.1423119336686343e-08,6.630290395182037e-05
2023-04-17 09:39:00+00:00,412.98,412.97,413.0,400,500,412.98333333333335,2.9134499877218004e-08,-0.0002138847524384424
2023-04-17 09:40:00+00:00,412.92,412.88,412.91,400,50,412.9066666666667,2.7507329508240602e-08,-0.00017427857218843545
2023-04-17 09:41:00+00:00,412.92,412.82,412.85,1,1300,412.82002305918525,2.4456324872613933e-08,-0.00018499546654238141
2023-04-17 09:42:00+00:00,412.8,412.75,412.78,500,1300,412.7583333333333,2.5262289784081863e-08,-0.00022692859017581224
2023-04-17 09:43:00+00:00,412.69,412.66,412.67,350,400,412.6646666666667,4.16200691182074e-08,4.927325980585984e-05
2023-04-17 09:44:00+00:00,412.66,412.66,412.71,400,400,412.685,3.487370639768009e-08,-2.4231556756348915e-05
2023-04-17 09:45:00+00:00,412.63,412.66,412.69,400,400,412.675,1.1299616637987714e-08,0.00012116071969470177
2023-04-17 09:46:00+00:00,412.69,412.71,412.74,400,400,412.725,3.193952051878921e-08,2.4229208310577732e-05
2023-04-17 09:47:00+00:00,412.73,412.71,412.76,400,400,412.735,1.8666996024479272e-08,-8.48001744461202e-05
2023-04-17 09:48:00+00:00,412.7,412.68,412.72,400,400,412.7,1.3465873949782777e-08,-2.076915088788933e-05
2023-04-17 09:49:00+00:00,412.7,412.69,412.71,100,1300,412.69142857142856,2.7491714951315584e-08,-7.591522226668701e-05
2023-04-17 09:50:00+00:00,412.66,412.66,412.67,400,100,412.668,1.7682899788391372e-08,0.00027170839291290605
2023-04-17 09:51:00+00:00,412.67,412.76,412.79,400,400,412.775,1.3715977599978754e-08,-5.383652539103778e-06
2023-04-17 09:52:00+00:00,412.75,412.75,412.79,400,400,412.77,5.356614741461681e-09,4.16366667455037e-06
2023-04-17 09:53:00+00:00,412.75,412.77,412.8,79,1300,412.7717186366932,1.8402475930274446e-08,-2.8390115320742204e-05
2023-04-17 09:54:00+00:00,412.77,412.74,412.78,400,400,412.76,3.140794447497106e-08,0.00011124219228153542
2023-04-17 09:55:00+00:00,412.77,412.78,412.83,1400,1301,412.8059163272861,2.6231350231926046e-08,-6.0089294251719494e-05
2023-04-17 09:56:00+00:00,412.78,412.75,412.79,1400,400,412.7811111111111,2.5340447080769e-08,7.267774419061901e-05
2023-04-17 09:57:00+00:00,412.83,412.78,412.82,1400,400,412.81111111111113,1.3119988213472473e-08,9.420504400714513e-05
2023-04-17 09:58:00+00:00,412.84,412.83,412.87,900,400,412.85769230769233,1.6411339260647552e-08,-8.069869370530558e-05
2023-04-17 09:59:00+00:00,412.84,412.81,412.84,88,307,412.81668354430377,1.2440040578509661e-08,-7.228738621811726e-05
2023-04-17 10:00:00+00:00,412.78,412.75,412.79,1200,400,412.78,8.562780294999931e-09,-2.868818493040326e-05
2023-04-17 10:01:00+00:00,412.78,412.75,412.8,1300,1300,412.775,9.273408568486914e-09,7.26788201805828e-05
2023-04-17 10:02:00+00:00,412.76,412.79,412.82,400,400,412.805,1.8375351377320842e-08,0.0001763006208204132
2023-04-17 10:03:00+00:00,412.88,412.86,412.89,400,400,412.875,3.884496351934723e-08,-0.0002489302726124132
2023-04-17 10:04:00+00:00,412.88,412.76,412.79,400,400,412.775,5.51995092477646e-09,7.26788201805828e-05
2023-04-17 10:05:00+00:00,412.88,412.79,412.82,400,400,412.805,9.90776856918054e-09,6.316924837634907e-05
2023-04-17 10:06:00+00:00,412.88,412.8,412.84,1400,402,412.83107658157604,2.1551824545665262e-08,0.00010639562018366355
2023-04-17 10:07:00+00:00,412.88,412.86,412.89,400,400,412.875,2.7206078611972504e-08,-4.4296788482833804e-05
2023-04-17 10:08:00+00:00,412.81,412.82,412.87,1105,400,412.85671096345516,1.8935869707403926e-08,-0.00013197978811052558
2023-04-17 10:09:00+00:00,412.82,412.77,412.82,1125,400,412.80688524590164,7.733374006212534e-09,4.7103536264359036e-05
2023-04-17 10:10:00+00:00,412.82,412.78,412.82,400,400,412.8,2.6705191748151394e-08,-0.00020051703789236708
2023-04-17 10:11:00+00:00,412.74,412.72,412.77,400,1700,412.7295238095238,4.680146771263789e-08,9.942435580523323e-05
2023-04-17 10:12:00+00:00,412.73,412.75,412.78,400,1,412.7799251870324,2.8182120022414638e-08,1.8124177803002794e-07
2023-04-17 10:13:00+00:00,412.78,412.76,412.8,400,400,412.78,1.3296062317391853e-08,0.00012112989970436416
2023-04-17 10:14:00+00:00,412.85,412.81,412.85,400,400,412.83,1.7306467796380975e-08,4.8446091611697994e-05
2023-04-17 10:15:00+00:00,412.89,412.83,412.87,400,400,412.85,4.100083148126854e-08,0.000150920896954565
2023-04-17 10:16:00+00:00,412.94,412.89,412.94,400,1700,412.8995238095238,5.40370495408451e-08,-0.0003083165358261919
2023-04-17 10:17:00+00:00,412.87,412.76,412.81,500,500,412.785,2.562004305668913e-08,0.0001816926487154813
2023-04-17 10:18:00+00:00,412.82,412.84,412.87,400,400,412.855,3.8526013917067866e-08,-0.00021799157099267052
2023-04-17 10:19:00+00:00,412.82,412.75,412.79,400,400,412.77,4.115297610816e-08,8.479298398622603e-05
2023-04-17 10:20:00+00:00,412.76,412.79,412.82,400,400,412.805,1.792258358237229e-08,3.6336769176692485e-05
2023-04-17 10:21:00+00:00,412.85,412.8,412.84,400,400,412.82,5.077196583785058e-09,2.681902178047757e-05
2023-04-17 10:22:00+00:00,412.85,412.83,412.84,48,400,412.8310714285714,1.7442754904201805e-08,-6.315277694868282e-05
2023-04-17 10:23:00+00:00,412.8,412.79,412.82,400,400,412.805,9.657204519906562e-09,-6.056128196130217e-05
2023-04-17 10:24:00+00:00,412.8,412.76,412.8,400,500,412.77777777777777,1.012597965487699e-08,-1.9984298376574117e-05
2023-04-17 10:25:00+00:00,412.77,412.76,412.81,400,1302,412.7717508813161,2.6326789300544628e-08,-9.307213466214215e-05
2023-04-17 10:26:00+00:00,412.75,412.72,412.75,400,500,412.73333333333335,1.854547277004957e-08,0.0
2023-04-17 10:27:00+00:00,412.73,412.75,412.77,100,400,412.754,2.2071823702200525e-08,1.4998730876625288e-05
2023-04-17 10:28:00+00:00,412.76,412.73,412.78,400,1700,412.7395238095238,3.0407750839330555e-08,0.00017043024971652443
2023-04-17 10:29:00+00:00,412.76,412.78,412.81,400,3,412.80977667493795,2.2484410330847215e-09,2.8821007431734103e-05
2023-04-17 10:30:00+00:00,412.84,412.81,412.86,400,1300,412.82176470588234,1.2741550155083856e-08,-4.061003395561258e-05
2023-04-17 10:31:00+00:00,412.8,412.79,412.82,400,400,412.805,5.6193864041458884e-09,4.840354776036726e-05
2023-04-17 10:32:00+00:00,412.81,412.82,412.84,26,400,412.82122065727697,6.129196278674759e-09,7.271549647414055e-05
2023-04-17 10:33:00+00:00,412.82,412.84,412.87,400,400,412.855,1.4041800717778957e-08,-7.2664737014283e-05
2023-04-17 10:34:00+00:00,412.82,412.8,412.84,400,400,412.82,6.868164755693188e-09,0.00012803764999014255
2023-04-17 10:35:00+00:00,412.82,412.85,412.88,1300,100,412.8778571428571,1.523647963486233e-08,-9.169090132155056e-05
2023-04-17 10:36:00+00:00,412.82,412.82,412.86,400,400,412.84,1.7194903260420953e-08,2.1531074723579735e-05
2023-04-17 10:37:00+00:00,412.82,412.84,412.88,400,1400,412.8488888888889,5.042474148188742e-08,-0.00021215862805479269
2023-04-17 10:38:00+00:00,412.77,412.75,412.77,400,308,412.76129943502826,7.080581459567387e-09,3.319246496813477e-05
2023-04-17 10:39:00+00:00,412.77,412.76,412.79,400,400,412.775,1.4551690025300406e-09,0.0
2023-04-17 10:40:00+00:00,412.77,412.76,412.79,400,400,412.775,2.5388195348726814e-08,7.26788201805828e-05
2023-04-17 10:41:00+00:00,412.77,412.8,412.83,125,500,412.806,1.5976326866758735e-08,2.4224512784387642e-05
2023-04-17 10:42:00+00:00,412.83,412.81,412.83,400,400,412.82,2.4353230689241105e-08,9.689570388671243e-05
2023-04-17 10:43:00+00:00,412.85,412.85,412.87,500,400,412.8611111111111,2.3640637849057515e-08,-3.430110148694432e-05
2023-04-17 10:44:00+00:00,412.84,412.84,412.85,119,1300,412.84083861874564,1.0288961804156245e-08,1.1425557669308972e-05
2023-04-17 10:45:00+00:00,412.84,412.84,412.85,1000,800,412.84555555555556,3.318248792651662e-09,2.114630668215156e-05
2023-04-17 10:46:00+00:00,412.84,412.84,412.86,1000,400,412.8542857142857,1.7367335752280702e-08,0.00017128146215550366
2023-04-17 10:47:00+00:00,412.95,412.91,412.95,400,1201,412.91999375390384,1.4110970863977822e-08,1.2108736453297908e-05
2023-04-17 10:48:00+00:00,412.93,412.93,412.98,1300,1302,412.95498078401226,2.356689399197358e-08,-2.201561787928963e-05
2023-04-17 10:49:00+00:00,412.9,412.92,412.93,90,400,412.9218367346939,2.2650525499328926e-08,-5.2061607271447485e-05
2023-04-17 10:50:00+00:00,412.92,412.89,412.93,400,1300,412.89941176470586,1.1882453291340608e-08,-9.545124934284832e-05
2023-04-17 10:51:00+00:00,412.88,412.85,412.87,400,400,412.86,4.531844642705188e-09,-3.114165299900051e-05
2023-04-17 10:52:00+00:00,412.85,412.84,412.85,1000,400,412.84714285714284,2.573927434091646e-08,0.00026032038572143534
2023-04-17 10:53:00+00:00,412.9,412.92,412.97,900,400,412.9546153846154,1.7247879706310657e-08,-8.394447872883681e-05
2023-04-17 10:54:00+00:00,412.93,412.89,412.9,100,1300,412.8907142857143,1.4207959551680719e-08,-3.620586673958037e-05
2023-04-17 10:55:00+00:00,412.92,412.89,412.92,400,400,412.905,1.5369666578693122e-08,4.8437291871206156e-05
2023-04-17 10:56:00+00:00,412.95,412.91,412.94,400,400,412.925,1.2598416401168024e-08,7.265241872000949e-05
2023-04-17 10:57:00+00:00,412.92,412.94,412.97,400,400,412.955,7.1794430221768395e-09,3.947024501038676e-05
2023-04-17 10:58:00+00:00,412.98,412.96,412.98,400,308,412.97129943502824,1.86869549966152e-08,0.00015424937534147531
2023-04-17 10:59:00+00:00,413.04,413.01,413.06,400,400,413.035,2.0260681629456672e-08,-6.05275581972986e-05
2023-04-17 11:00:00+00:00,413.04,412.99,413.03,400,400,413.01,2.5658106713358328e-08,0.00012160316956499884
2023-04-17 11:01:00+00:00,413.06,413.06,413.09,3,400,413.060223325062,1.1953551268133768e-08,9.788132156618445e-05
2023-04-17 11:02:00+00:00,413.09,413.09,413.11,456,400,413.1006542056075,2.2695860645828237e-08,6.412154341983722e-05
2023-04-17 11:03:00+00:00,413.14,413.11,413.14,400,300,413.12714285714287,1.1713998086659295e-08,-6.558025126068845e-05
2023-04-17 11:04:00+00:00,413.12,413.1,413.12,1,400,413.1000498753117,3.1001719374228535e-08,3.893571408752905e-05
2023-04-17 11:05:00+00:00,413.15,413.09,413.12,400,400,413.105,2.6128680222118617e-08,-9.703401351590646e-05
2023-04-17 11:06:00+00:00,413.13,413.07,413.1,101,400,413.0760479041916,1.5576642838809276e-08,8.219332972858595e-05
2023-04-17 11:07:00+00:00,413.13,413.1,413.12,400,400,413.11,2.7118527158741516e-08,4.841325554894027e-06
2023-04-17 11:08:00+00:00,413.11,413.11,413.12,100,400,413.112,1.6141142362301877e-08,1.7290364701993965e-05
