ts_recv,price,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,weighted_mid,rv_60s,ret_60s
2024-04-10 08:01:00+00:00,519.99,519.93,519.99,400,200,519.97,8.811552284482443e-09,5.7695636286547725e-05
2024-04-10 08:02:00+00:00,519.93,519.97,520.03,400,400,520.0,2.1211864835692474e-08,-0.00011538461538451728
2024-04-10 08:03:00+00:00,519.96,519.9,519.96,800,400,519.94,4.0043993728478833e-08,-0.0001373784887268581
2024-04-10 08:04:00+00:00,519.91,519.82,519.88,1700,400,519.8685714285714,4.058078764506978e-08,3.772182179928585e-05
2024-04-10 08:05:00+00:00,519.94,519.87,519.89,4000,400,519.8881818181818,1.7405775139953968e-08,0.00012852414068076357
2024-04-10 08:06:00+00:00,519.98,519.92,519.99,400,400,519.955,1.637241098707843e-08,-4.808108394016575e-05
2024-04-10 08:07:00+00:00,519.99,519.9,519.96,400,400,519.93,6.8871524432835926e-09,-9.926894625389426e-05
2024-04-10 08:08:00+00:00,519.87,519.87,519.89,150,400,519.8754545454545,2.643159862310269e-08,-0.00030466182227473215
2024-04-10 08:09:00+00:00,519.74,519.7,519.76,400,800,519.72,1.24534101320647e-08,0.00010192598509384254
2024-04-10 08:10:00+00:00,519.75,519.75,519.8,340,400,519.772972972973,1.0642719744924745e-08,1.7794786820735098e-05
2024-04-10 08:11:00+00:00,519.78,519.78,519.8,50,400,519.7822222222222,1.0742473876507602e-08,5.344118476946491e-05
2024-04-10 08:12:00+00:00,519.8,519.78,519.83,350,400,519.8033333333333,1.0363350877838204e-08,2.4484470724672747e-05
2024-04-10 08:13:00+00:00,519.83,519.81,519.88,400,1800,519.8227272727273,3.947064513683892e-09,2.360944727652914e-05
2024-04-10 08:14:00+00:00,519.83,519.81,519.86,700,400,519.8418181818182,1.0473720251914337e-08,5.6970739975792384e-05
2024-04-10 08:15:00+00:00,519.86,519.83,519.88,900,400,519.8646153846154,2.1117461416669107e-08,0.00010104067669347572
2024-04-10 08:16:00+00:00,519.85,519.9,519.96,400,1000,519.9171428571428,2.270891776324983e-08,7.968302641625513e-05
2024-04-10 08:17:00+00:00,519.97,519.92,519.99,1700,1100,519.9625,9.528966920165889e-09,-4.137369056722573e-05
2024-04-10 08:18:00+00:00,519.97,519.93,519.96,400,1300,519.9370588235294,2.206347283942087e-08,3.4506439128056954e-05
2024-04-10 08:19:00+00:00,519.93,519.93,519.98,400,400,519.955,1.810983727853991e-08,5.769730072779922e-05
2024-04-10 08:20:00+00:00,520.0,519.97,520.0,400,400,519.985,2.603431391280252e-09,3.1594317968064445e-05
2024-04-10 08:21:00+00:00,520.0,519.99,520.01,400,300,520.0014285714286,6.2131376384301544e-09,-4.761891679794239e-05
2024-04-10 08:22:00+00:00,520.0,519.94,519.99,1100,400,519.9766666666667,2.974386187813923e-08,-0.000282063938766397
2024-04-10 08:23:00+00:00,519.8,519.81,519.85,400,400,519.83,1.991114849599603e-08,6.738989498766834e-05
2024-04-10 08:24:00+00:00,519.89,519.84,519.89,400,399,519.8650312891115,1.4446322211956174e-08,-0.0002017952406826451
2024-04-10 08:25:00+00:00,519.78,519.76,519.81,1,399,519.760125,1.8911119946783628e-08,0.0002210154155246613
2024-04-10 08:26:00+00:00,519.8,519.85,519.9,400,400,519.875,1.5667259741911464e-08,9.617696561670108e-05
2024-04-10 08:27:00+00:00,519.9,519.92,519.95,400,400,519.935,1.6633382166110027e-08,4.8083858249059475e-05
2024-04-10 08:28:00+00:00,519.9,519.92,519.98,1200,400,519.965,1.6883543034796998e-08,-9.616309260551681e-06
2024-04-10 08:29:00+00:00,519.96,519.92,519.97,400,400,519.945,7.379745404086992e-09,-6.712296373001525e-05
2024-04-10 08:30:00+00:00,519.97,519.91,519.95,1,400,519.9100997506234,4.7132935586700546e-09,3.186496290630281e-05
2024-04-10 08:31:00+00:00,519.91,519.91,519.96,400,800,519.9266666666666,1.4520971336334936e-08,5.44948646605814e-05
2024-04-10 08:32:00+00:00,519.91,519.95,520.0,100,900,519.955,1.734241852105736e-08,0.00019232433575955277
2024-04-10 08:33:00+00:00,520.01,520.03,520.08,400,400,520.055,8.403712433051717e-09,-0.00011537241253323227
2024-04-10 08:34:00+00:00,520.05,519.97,520.02,400,400,519.995,1.4785169397646361e-08,-5.082466452288603e-05
2024-04-10 08:35:00+00:00,520.01,519.92,519.98,1700,400,519.9685714285714,1.6331906124855833e-08,-4.533241020043821e-05
2024-04-10 08:36:00+00:00,520.01,519.92,519.97,400,400,519.945,3.4318274770171534e-08,-0.0001250132225525391
2024-04-10 08:37:00+00:00,519.9,519.86,519.9,400,400,519.88,8.97570656414141e-09,0.00017311687312471236
2024-04-10 08:38:00+00:00,519.9,519.95,519.99,400,400,519.97,1.9508539813746605e-08,-3.846375752447617e-05
2024-04-10 08:39:00+00:00,519.9,519.92,519.98,400,400,519.95,4.9700647614149986e-08,0.00018270987594948274
2024-04-10 08:40:00+00:00,519.9,520.02,520.07,400,400,520.045,1.8025258292726808e-08,-0.00012498918362824352
2024-04-10 08:41:00+00:00,519.9,519.95,520.01,400,400,519.98,2.1773663148225805e-08,3.571565939330945e-05
2024-04-10 08:42:00+00:00,519.9,519.99,520.06,400,800,520.0133333333333,1.4438140716581957e-08,-5.494520589333085e-05
2024-04-10 08:43:00+00:00,519.9,519.95,519.99,400,400,519.97,9.377959714976514e-09,3.846375752436515e-05
2024-04-10 08:44:00+00:00,519.9,519.97,520.01,400,400,519.99,2.3664051209638572e-08,-0.00014416124543747966
2024-04-10 08:45:00+00:00,519.96,519.9,519.96,400,1196,519.915037593985,1.3975611143472881e-08,2.877855982830191e-05
2024-04-10 08:46:00+00:00,519.96,519.91,519.95,400,400,519.93,1.4765125050554202e-08,-3.3658377089129665e-05
2024-04-10 08:47:00+00:00,519.95,519.9,519.95,400,1700,519.9095238095238,1.7768047555129825e-08,-4.968784811554272e-05
2024-04-10 08:48:00+00:00,519.95,519.86,519.93,800,1300,519.8866666666667,2.2669565607074205e-08,9.777772078534142e-05
2024-04-10 08:49:00+00:00,519.95,519.92,519.99,400,1200,519.9375,4.265378751830756e-08,7.212405337186922e-05
