ts_recv,price,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,weighted_mid,rv_60s,ret_60s
2023-04-21 08:01:00+00:00,411.4,411.36,411.4,500,1300,411.37111111111113,8.574810028116376e-08,0.000578361339742095
2023-04-21 08:02:00+00:00,411.44,411.59,411.62,400,400,411.605,8.458166422551292e-08,0.00013558121236245668
2023-04-21 08:03:00+00:00,411.7,411.62,411.68,1000,400,411.66285714285715,8.515431982272997e-08,0.0003404742818500228
2023-04-21 08:04:00+00:00,411.82,411.8,411.84,400,400,411.82,4.796571901898555e-08,-0.00020178297518302912
2023-04-21 08:05:00+00:00,411.83,411.71,411.76,500,1600,411.72190476190474,3.204204881504291e-08,0.00018967958029936227
2023-04-21 08:06:00+00:00,411.85,411.82,411.87,800,400,411.85333333333335,1.1047875928937615e-07,1.2141816415622841e-05
2023-04-21 08:07:00+00:00,411.96,411.76,411.8,400,1300,411.76941176470586,3.906728575415294e-08,-0.00034451985769967663
2023-04-21 08:08:00+00:00,411.65,411.62,411.67,1800,400,411.6609090909091,2.655195666734896e-08,-3.18828653890213e-05
2023-04-21 08:09:00+00:00,411.66,411.63,411.67,400,400,411.65,3.294353469081874e-08,0.00010064028040468465
2023-04-21 08:10:00+00:00,411.63,411.68,411.74,400,1700,411.69142857142856,5.2675269775878424e-08,-0.00017723719247741965
2023-04-21 08:11:00+00:00,411.67,411.6,411.66,400,400,411.63,1.531908340908366e-08,0.00022238667623497577
2023-04-21 08:12:00+00:00,411.69,411.7,411.72,400,400,411.71,3.677809201449097e-08,-0.00019431152996041146
2023-04-21 08:13:00+00:00,411.66,411.61,411.65,400,400,411.63,1.8363184516041922e-08,-0.00010527253439585049
2023-04-21 08:14:00+00:00,411.62,411.58,411.63,900,1300,411.60045454545457,3.324000249479109e-08,-8.908613819680333e-05
2023-04-21 08:15:00+00:00,411.57,411.53,411.57,400,400,411.55,3.421997776596833e-08,0.0001336411128660675
2023-04-21 08:16:00+00:00,411.57,411.61,411.65,400,1300,411.6194117647059,1.2280905353111933e-08,4.694814232264477e-06
2023-04-21 08:17:00+00:00,411.63,411.6,411.63,400,1331,411.60693240901213,3.481281315840136e-08,9.975195326572539e-05
2023-04-21 08:18:00+00:00,411.66,411.63,411.66,400,267,411.64799100449767,2.582159705821467e-08,0.00013848967260399192
2023-04-21 08:19:00+00:00,411.72,411.68,411.73,400,400,411.705,3.9420478570582766e-08,0.00010787278441082293
2023-04-21 08:20:00+00:00,411.75,411.74,411.78,400,1300,411.7494117647059,2.2056151305513022e-08,-4.730544674724779e-05
2023-04-21 08:21:00+00:00,411.75,411.72,411.75,50,101,411.7299337748344,2.730581895537786e-08,-0.00011754140111275291
2023-04-21 08:22:00+00:00,411.72,411.66,411.73,400,1700,411.67333333333335,2.3631207904344134e-08,6.913484283965765e-05
2023-04-21 08:23:00+00:00,411.72,411.69,411.73,400,400,411.71,2.6063552053104923e-08,-1.8891398746001542e-05
2023-04-21 08:24:00+00:00,411.72,411.68,411.72,500,400,411.70222222222225,1.1099049018395979e-08,-0.00011469994494417435
2023-04-21 08:25:00+00:00,411.67,411.64,411.67,400,400,411.655,3.491166506802483e-08,0.00013846546258400316
2023-04-21 08:26:00+00:00,411.67,411.67,411.72,2100,400,411.712,2.7330515555169868e-08,-0.00013844629255410634
2023-04-21 08:27:00+00:00,411.68,411.64,411.67,400,400,411.655,1.3104964650579208e-08,-0.00012567903140647818
2023-04-21 08:28:00+00:00,411.6,411.6,411.62,78,400,411.60326359832635,6.60470182967805e-11,3.9644952007922285e-06
2023-04-21 08:29:00+00:00,411.6,411.6,411.63,78,400,411.60489539748954,1.6697106173530602e-08,-0.00013822818466380227
2023-04-21 08:30:00+00:00,411.6,411.54,411.58,400,1600,411.548,1.8505153477118722e-08,6.499881304189437e-05
