ts_recv,price,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,weighted_mid,rv_60s,ret_60s
2024-04-01 08:01:00+00:00,525.59,525.52,525.6,1500,1900,525.555294117647,3.043431176493597e-08,-0.0001411516682758851
2024-04-01 08:02:00+00:00,525.48,525.45,525.52,800,1000,525.4811111111111,3.3082571494655176e-08,-9.699947243491103e-05
2024-04-01 08:03:00+00:00,525.46,525.43,525.5,1,500,525.4301397205588,1.5818764648199125e-08,-5.88398597134443e-05
2024-04-01 08:04:00+00:00,525.38,525.38,525.43,712,1300,525.3976938369781,1.2104931560149492e-08,1.0994525483365436e-05
2024-04-01 08:05:00+00:00,525.41,525.38,525.43,1300,1300,525.405,1.1809500998119738e-08,-4.758234124146998e-05
2024-04-01 08:06:00+00:00,525.39,525.36,525.4,400,400,525.38,1.4571183781006351e-08,-0.00018082150062814772
2024-04-01 08:07:00+00:00,525.31,525.26,525.31,400,400,525.285,2.8280677064800405e-09,4.7593211304208793e-05
2024-04-01 08:08:00+00:00,525.33,525.29,525.33,400,400,525.31,1.7502420408398413e-08,5.650978930793471e-06
2024-04-01 08:09:00+00:00,525.27,525.25,525.32,1800,201,525.3129685157421,5.274508092255245e-09,-6.031005204565343e-05
2024-04-01 08:10:00+00:00,525.31,525.28,525.29,192,1300,525.2812868632707,2.0779128521100497e-08,-0.0001737866273815447
2024-04-01 08:11:00+00:00,525.2,525.18,525.23,400,1600,525.19,1.3174800833098269e-08,8.495094083160737e-05
2024-04-01 08:12:00+00:00,525.18,525.2,525.25,900,400,525.2346153846154,1.2484887367820975e-09,-9.554644151421599e-06
2024-04-01 08:13:00+00:00,525.23,525.2,525.23,2203,30,525.2295969547694,4.11529855616605e-09,8.961740193269563e-05
2024-04-01 08:14:00+00:00,525.23,525.26,525.31,400,800,525.2766666666666,1.3076039127108032e-08,1.6269001992252896e-06
2024-04-01 08:15:00+00:00,525.28,525.27,525.32,301,1700,525.2775212393803,1.3519328465116181e-08,-3.335615683497384e-05
2024-04-01 08:16:00+00:00,525.23,525.24,525.28,400,400,525.26,1.7020710737593155e-08,7.563821674927418e-05
2024-04-01 08:17:00+00:00,525.33,525.28,525.33,400,1620,525.289900990099,2.063999396572034e-08,-5.645542530796632e-05
2024-04-01 08:18:00+00:00,525.33,525.26,525.31,328,1300,525.2700737100737,3.933930154253203e-09,2.1475536409854e-05
2024-04-01 08:19:00+00:00,525.28,525.28,525.31,52,1100,525.2813541666667,7.435140056594403e-12,-1.0806585999389995e-06
2024-04-01 08:20:00+00:00,525.28,525.28,525.31,35,1300,525.2807865168539,3.772798747023546e-09,0.00011816656461927089
2024-04-01 08:21:00+00:00,525.36,525.35,525.37,400,400,525.36,2.006148494537797e-09,3.0516729815133203e-05
2024-04-01 08:22:00+00:00,525.36,525.35,525.37,400,50,525.3677777777777,9.006078693782255e-09,3.7700293581410804e-05
2024-04-01 08:23:00+00:00,525.36,525.36,525.4,351,400,525.3786950732357,1.5828691652157096e-10,1.3360291432507054e-05
2024-04-01 08:24:00+00:00,525.36,525.38,525.41,400,1700,525.3857142857142,3.702540858639257e-09,3.253127981350801e-05
2024-04-01 08:25:00+00:00,525.4,525.4,525.41,195,500,525.4028057553957,1.425793713195859e-08,-2.783376307413654e-05
2024-04-01 08:26:00+00:00,525.4,525.38,525.43,400,1300,525.3917647058823,5.211673806853179e-09,-4.120432762877435e-06
2024-04-01 08:27:00+00:00,525.4,525.38,525.42,301,1700,525.3860169915042,3.163612515505505e-09,6.468198124176538e-05
2024-04-01 08:28:00+00:00,525.43,525.4,525.44,400,400,525.42,8.806624285180497e-09,1.837771621926443e-05
