ts_recv,price,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,weighted_mid,rv_60s,ret_60s
2021-09-15 08:01:00+00:00,444.8,444.8,444.85,700,100,444.84375,6.822209681192864e-08,0.0003779131698991023
2021-09-15 08:02:00+00:00,444.94,444.96,444.98,100,200,444.96666666666664,3.029481882068126e-08,-3.7455989212453744e-06
2021-09-15 08:03:00+00:00,444.93,444.95,444.98,100,100,444.965,2.0702881322437248e-08,5.8147913673645135e-05
2021-09-15 08:04:00+00:00,444.96,444.99,445.02,15,500,444.99087378640775,2.259090538343264e-08,-9.454395559327367e-06
2021-09-15 08:05:00+00:00,445.0,444.97,445.0,100,500,444.975,2.3561836770138605e-08,-5.9704388368997385e-05
2021-09-15 08:06:00+00:00,444.99,444.96,444.97,5,500,444.960099009901,2.3580088620031643e-08,-9.011821507187712e-05
2021-09-15 08:07:00+00:00,444.96,444.89,444.95,600,600,444.92,4.7507928320035505e-08,0.00016856963049538543
2021-09-15 08:08:00+00:00,444.97,444.99,445.02,100,500,444.995,2.5784401450064604e-08,-0.00011236081304288881
2021-09-15 08:09:00+00:00,444.97,444.94,444.97,100,500,444.945,2.1328381034973304e-09,-3.3091429002984896e-05
2021-09-15 08:10:00+00:00,444.97,444.93,444.95,7,500,444.93027613412227,5.987093073979821e-09,3.2608603305339656e-05
2021-09-15 08:11:00+00:00,444.95,444.94,444.97,100,527,444.94478468899524,6.505933804740736e-09,-4.9573378601008855e-05
2021-09-15 08:12:00+00:00,444.94,444.89,444.94,600,500,444.91727272727275,5.105747726391434e-09,3.9262560964647975e-05
2021-09-15 08:13:00+00:00,444.94,444.94,444.95,10,500,444.94019607843137,2.1694894663729584e-08,-3.7898902474187146e-05
2021-09-15 08:14:00+00:00,444.92,444.92,444.94,100,500,444.92333333333335,7.411700716754188e-09,-5.235376845513784e-05
2021-09-15 08:15:00+00:00,444.92,444.9,444.92,1,500,444.9000399201597,2.4826203762978574e-08,-2.2566687477798553e-05
2021-09-15 08:16:00+00:00,444.87,444.86,444.92,600,600,444.89,1.6644503798090115e-08,0.00017504105677357273
2021-09-15 08:17:00+00:00,444.92,444.96,444.97,100,27,444.967874015748,4.747377484414105e-09,-2.581638315257706e-05
2021-09-15 08:18:00+00:00,444.95,444.95,444.99,95,500,444.9563865546218,1.29847400363278e-08,0.0001504569452972504
2021-09-15 08:19:00+00:00,445.03,445.02,445.04,100,500,445.0233333333333,1.991284017194749e-08,-2.9960975828968728e-05
2021-09-15 08:20:00+00:00,445.02,444.99,445.03,500,500,445.01,8.87873912489396e-09,0.00011556722641858919
2021-09-15 08:21:00+00:00,445.05,445.04,445.07,500,200,445.06142857142856,1.7310516655835188e-08,-9.312244940362646e-05
2021-09-15 08:22:00+00:00,445.03,445.01,445.02,600,1,445.01998336106493,1.37397726798631e-08,-7.861076439918957e-05
2021-09-15 08:23:00+00:00,444.96,444.96,445.01,500,500,444.985,8.999571657329003e-09,0.0
2021-09-15 08:24:00+00:00,445.0,444.97,445.0,100,100,444.985,7.827823799348457e-09,-6.741800285414712e-05
2021-09-15 08:25:00+00:00,444.96,444.91,444.96,600,499,444.9372975432211,1.0016936491500919e-08,-5.056691126059665e-05
2021-09-15 08:26:00+00:00,444.93,444.93,444.96,100,1100,444.9325,2.5617023106041823e-08,3.1840035660701815e-05
2021-09-15 08:27:00+00:00,444.95,444.94,444.98,100,500,444.94666666666666,3.5852260667036036e-08,0.00019341780152082322
2021-09-15 08:28:00+00:00,445.02,445.03,445.06,100,1000,445.0327272727273,2.901828875989009e-08,2.3959041948407034e-05
2021-09-15 08:29:00+00:00,445.06,445.03,445.06,100,1100,445.0325,4.980972802695186e-08,0.00026659444976928626
2021-09-15 08:30:00+00:00,445.16,445.15,445.16,134,500,445.15211356466875,3.872479876146993e-08,0.00014785900279257191
2021-09-15 08:31:00+00:00,445.26,445.22,445.26,100,900,445.224,3.2610578046084235e-08,0.00015999395610810652
2021-09-15 08:32:00+00:00,445.29,445.29,445.3,100,10,445.2990909090909,6.444882028295997e-09,-0.00010091266889211692
2021-09-15 08:33:00+00:00,445.27,445.26,445.28,500,35,445.2786915887851,4.47146450767692e-08,-8.793761713055126e-05
2021-09-15 08:34:00+00:00,445.24,445.2,445.23,100,100,445.215,3.581553223458205e-08,-1.871754845006457e-06
2021-09-15 08:35:00+00:00,445.27,445.21,445.26,100,1100,445.21416666666664,1.1360017067241043e-08,8.066458189581738e-05
2021-09-15 08:36:00+00:00,445.24,445.25,445.27,2,500,445.25007968127494,1.4683003138762581e-08,3.751702797272216e-05
2021-09-15 08:37:00+00:00,445.27,445.25,445.28,127,100,445.26678414096915,1.7443793586439758e-08,1.4708468265345331e-05
2021-09-15 08:38:00+00:00,445.27,445.25,445.29,127,1000,445.2545075421473,1.0620396369021427e-08,5.784666143116013e-05
2021-09-15 08:39:00+00:00,445.28,445.29,445.3,100,10,445.2990909090909,1.219264986286532e-08,4.003774885852351e-06
2021-09-15 08:40:00+00:00,445.32,445.31,445.33,100,100,445.32,1.794966190213527e-08,5.4179578376167825e-05
2021-09-15 08:41:00+00:00,445.35,445.32,445.35,100,500,445.325,1.5940759801182736e-08,-7.854941891882739e-05
2021-09-15 08:42:00+00:00,445.3,445.29,445.31,1,1000,445.29001998001996,5.0629200061167936e-09,8.697706717475384e-05
2021-09-15 08:43:00+00:00,445.32,445.31,445.35,600,100,445.3442857142857,1.9912022993439214e-08,-5.707394069365268e-05
2021-09-15 08:44:00+00:00,445.32,445.3,445.32,100,500,445.30333333333334,1.6463706416780993e-08,-1.867628266560839e-05
2021-09-15 08:45:00+00:00,445.28,445.29,445.32,100,498,445.2950167224081,3.24784450191276e-09,-4.869443461186229e-05
2021-09-15 08:46:00+00:00,445.28,445.27,445.29,100,500,445.2733333333333,5.87976057928962e-09,5.951709978258002e-05
2021-09-15 08:47:00+00:00,445.29,445.27,445.3,100,5,445.2985714285714,1.493149621370719e-08,-6.981840005026996e-07
2021-09-15 08:48:00+00:00,445.28,445.29,445.3,100,5,445.2995238095238,1.7595488046603104e-08,-0.00010357370136548916
2021-09-15 08:49:00+00:00,445.25,445.25,445.27,123,600,445.2534024896266,3.940009465779718e-09,-6.378949485341678e-05
2021-09-15 08:50:00+00:00,445.26,445.22,445.26,100,599,445.2257224606581,2.2412183679495433e-08,-0.00013476332191586504
2021-09-15 08:51:00+00:00,445.2,445.16,445.19,100,500,445.165,5.1076172932696166e-09,5.054305706875262e-05
2021-09-15 08:52:00+00:00,445.19,445.18,445.19,600,200,445.1875,1.4081771485191262e-08,-8.386289090289711e-05
2021-09-15 08:53:00+00:00,445.18,445.15,445.17,5,600,445.15016528925617,1.2785840394648494e-08,3.332518305199095e-05
2021-09-15 08:54:00+00:00,445.17,445.16,445.19,100,500,445.165,9.38998305219199e-09,2.2463580919396264e-05
2021-09-15 08:55:00+00:00,445.19,445.17,445.2,100,500,445.175,9.965530914133923e-09,-5.5775882133124455e-05
2021-09-15 08:56:00+00:00,445.17,445.15,445.17,6,700,445.1501699716714,1.2523434049944763e-08,-0.0001122586381862023
2021-09-15 08:57:00+00:00,445.11,445.1,445.12,5,500,445.100198019802,6.221422357503725e-09,0.00011122203655555829
2021-09-15 08:58:00+00:00,445.1,445.12,445.15,100,1,445.149702970297,2.5735770559623974e-08,-3.3029271274243044e-05
2021-09-15 08:59:00+00:00,445.15,445.12,445.15,100,100,445.135,1.8415398021630205e-08,0.0
2021-09-15 09:00:00+00:00,445.15,445.12,445.15,100,100,445.135,2.233285891473524e-08,9.146502906820508e-05
2021-09-15 09:01:00+00:00,445.17,445.16,445.18,100,100,445.17,1.6682986592156273e-08,5.697838599161287e-06
2021-09-15 09:02:00+00:00,445.16,445.17,445.22,100,506,445.17825082508256,3.54630368458922e-08,-3.845369709576385e-05
2021-09-15 09:03:00+00:00,445.16,445.16,445.18,6,100,445.1611320754717,7.5176853085937e-09,8.68881905824459e-06
2021-09-15 09:04:00+00:00,445.16,445.16,445.19,100,500,445.165,1.490501678044753e-08,8.985432367758506e-05
2021-09-15 09:05:00+00:00,445.16,445.18,445.21,500,100,445.205,1.711622211070602e-08,-1.1453835572106108e-05
2021-09-15 09:06:00+00:00,445.16,445.18,445.22,501,506,445.1999006951341,1.2489310141032248e-09,-4.425579453493089e-05
2021-09-15 09:07:00+00:00,445.19,445.18,445.2,1,100,445.18019801980194,1.3004340850869455e-08,-1.8342606132870642e-06
2021-09-15 09:08:00+00:00,445.16,445.16,445.2,94,100,445.1793814432989,2.107981673785932e-08,5.0133444628341906e-05
2021-09-15 09:09:00+00:00,445.19,445.18,445.22,600,506,445.2016998191682,1.4047457603943858e-08,-1.6653361578633508e-05
2021-09-15 09:10:00+00:00,445.19,445.19,445.22,1,6,445.1942857142857,3.605250711297566e-10,0.0
2021-09-15 09:11:00+00:00,445.19,445.19,445.22,1,6,445.1942857142857,2.6406620753528405e-08,-1.4585781312748125e-06
2021-09-15 09:12:00+00:00,445.18,445.19,445.23,100,1000,445.19363636363636,3.2820796872697497e-09,2.042012362335477e-05
2021-09-15 09:13:00+00:00,445.18,445.2,445.23,100,500,445.205,5.891872776968662e-09,-6.602371816988306e-05
2021-09-15 09:14:00+00:00,445.19,445.17,445.19,100,499,445.17333889816365,4.779398746479209e-10,-7.352806262628242e-06
2021-09-15 09:15:00+00:00,445.19,445.15,445.19,501,498,445.17006006006005,1.4838380179657877e-08,5.773778984941025e-05
2021-09-15 09:16:00+00:00,445.22,445.19,445.22,101,500,445.1950415973377,1.3609114603425474e-08,6.567179425776004e-05
2021-09-15 09:17:00+00:00,445.22,445.21,445.24,100,600,445.2142857142857,6.4716475775898385e-09,5.7032190157180196e-05
2021-09-15 09:18:00+00:00,445.24,445.25,445.27,10,500,445.25039215686274,1.2492902866879037e-08,8.837297747654738e-05
2021-09-15 09:19:00+00:00,445.24,445.28,445.29,600,16,445.28974025974026,9.601550584597602e-09,2.3040594319123642e-05
2021-09-15 09:20:00+00:00,445.3,445.29,445.31,100,100,445.3,5.9991819644686435e-09,-5.988472191043037e-05
2021-09-15 09:21:00+00:00,445.29,445.27,445.28,100,600,445.27142857142854,2.2655350671241247e-08,-0.0001867062482924231
2021-09-15 09:22:00+00:00,445.25,445.19,445.21,1,100,445.190198019802,3.949658006840851e-09,5.945469370716161e-05
2021-09-15 09:23:00+00:00,445.2,445.22,445.25,25,500,445.2214285714286,1.5755322345618074e-08,-2.6036850524380206e-05
2021-09-15 09:24:00+00:00,445.22,445.19,445.22,101,100,445.20507462686567,6.420750389655867e-10,-2.9850430443900677e-05
2021-09-15 09:25:00+00:00,445.19,445.19,445.22,49,500,445.1926775956284,7.014563935886034e-10,-2.620340768011431e-05
2021-09-15 09:26:00+00:00,445.19,445.18,445.21,2,500,445.1801195219124,5.184423549306333e-10,3.5179515656125204e-07
2021-09-15 09:27:00+00:00,445.18,445.18,445.2,7,500,445.18027613412227,1.7282955201027033e-08,-0.00022150457408387503
2021-09-15 09:28:00+00:00,445.09,445.08,445.1,100,500,445.0833333333333,7.711951301012339e-10,4.86802047565682e-05
2021-09-15 09:29:00+00:00,445.09,445.1,445.12,100,500,445.10333333333335,1.312640653727897e-08,4.493338625488619e-05
2021-09-15 09:30:00+00:00,445.1,445.12,445.14,100,500,445.12333333333333,4.039667227901897e-08,-0.0002758850688580061
2021-09-15 09:31:00+00:00,445.03,445.0,445.03,9,500,445.0005304518664,1.8669676998200817e-08,0.00025723463299565097
2021-09-15 09:32:00+00:00,445.1,445.1,445.13,100,600,445.1042857142857,1.477480158996161e-08,7.863136492813894e-05
2021-09-15 09:33:00+00:00,445.12,445.13,445.17,500,500,445.15,2.7224399373564543e-08,-1.4976225242380181e-05
2021-09-15 09:34:00+00:00,445.12,445.14,445.18,100,1100,445.1433333333333,4.721124681479779e-08,0.00023201119545324111
2021-09-15 09:35:00+00:00,445.24,445.24,445.28,100,505,445.246611570248,1.5210352150976335e-08,-0.0001370588264647532
2021-09-15 09:36:00+00:00,445.18,445.19,445.22,100,116,445.2038888888889,8.196255797417128e-09,3.717072567965829e-06
2021-09-15 09:37:00+00:00,445.18,445.17,445.19,100,516,445.1732467532467,1.0130101453618229e-08,-0.00010598124718175228
2021-09-15 09:38:00+00:00,445.16,445.14,445.17,1,500,445.14005988023956,5.941908085285651e-09,0.00012181746585726572
2021-09-15 09:39:00+00:00,445.16,445.19,445.22,100,600,445.19428571428574,1.582769401483399e-08,-4.331977050153757e-05
2021-09-15 09:40:00+00:00,445.2,445.16,445.19,550,100,445.18538461538463,1.5101138164725877e-08,-4.6530658087906573e-05
2021-09-15 09:41:00+00:00,445.17,445.15,445.18,100,600,445.1542857142857,2.3173004655324286e-09,2.4012820802665757e-05
2021-09-15 09:42:00+00:00,445.17,445.16,445.19,100,503,445.1649751243781,3.612256114421391e-09,-3.7129274184088956e-06
2021-09-15 09:43:00+00:00,445.19,445.16,445.18,100,502,445.16332225913624,1.2078079200157862e-08,-5.221099235885873e-05
2021-09-15 09:44:00+00:00,445.17,445.14,445.18,1,500,445.14007984031934,1.4157305737088944e-08,5.223859649383655e-05
2021-09-15 09:45:00+00:00,445.17,445.15,445.18,100,500,445.155,8.804115672888859e-09,7.113493923571745e-05
2021-09-15 09:46:00+00:00,445.19,445.19,445.22,100,500,445.195,6.257759984425515e-09,-6.364252368806778e-05
2021-09-15 09:47:00+00:00,445.19,445.16,445.2,100,500,445.1666666666667,8.47126683291282e-09,1.7471608635855063e-05
2021-09-15 09:48:00+00:00,445.19,445.17,445.18,400,500,445.1744444444444,9.628929413748177e-09,9.484421837124835e-05
