epoch,train_loss,dev_loss
0,1.8328028020883513,1.7850403172847866
10,1.827339814437603,1.7787537705623702
20,1.8201482968565583,1.7707739026701659
30,1.8068418295023088,1.7567265029877213
40,1.7706792998382166,1.7206591520998527
50,1.6667665879364872,1.6408790334951389
60,1.4648919287724458,1.6542455533338425
70,1.327866188419269,1.8623105849728285
80,1.2910501723324066,1.8254483321564432
90,1.286432193696612,1.7305903757478112
100,1.2930593437775524,1.6138714414715536
110,1.2900123376330817,1.6002629435966835
120,1.287703388418481,1.601125612865331
130,1.286950378412718,1.5862747740035317
140,1.2864907388498343,1.5722220990306497
150,1.295944805299313,1.5898955389008504
160,1.2888457266289302,1.5457313473500975
170,1.287987259203479,1.5364647456786507
180,1.2861137594755234,1.5155971309939655
190,1.2851593912426225,1.5247471990811514
200,1.2911454651095666,1.5267602360184802
210,1.2888610737130102,1.4841097304238395
220,1.2856571807831982,1.5044442937942744
230,1.2847420045468705,1.498238260234539
240,1.2848033542757384,1.494678460957949
250,1.2844394361665439,1.4981448350393385
260,1.2851468019143506,1.4995950790612491
270,1.2848542609842413,1.484486028899213
280,1.2840273885906557,1.4878416923615672
290,1.2836547386898125,1.4871184551351724
