epoch,train_loss,dev_loss
0,1.068667655449689,1.055010772915428
10,0.9673776532232496,0.9541009603428585
20,0.9634237256607742,0.9515300173641207
30,0.9611502004408055,0.9498161844037302
40,0.9588547017661583,0.9476453324618643
50,0.9576179259772775,0.9465943546950334
60,0.9567036878639806,0.945938433047189
70,0.9562145534913604,0.9458137053902711
80,0.9552709756036758,0.945269204108946
90,0.9544978337923038,0.9450868499968481
100,0.9536399705623656,0.9450856657146393
110,0.9527761719441282,0.9448548481024523
120,0.9519184364025474,0.9451890559421424
130,0.9503613886957782,0.944725342004752
140,0.949728671972461,0.9454403970768106
150,0.9484837840131695,0.9462727873991172
160,0.9475617568534696,0.946553646999391
170,0.94604979148942,0.947267901086146
180,0.9446950883742873,0.9485630993681622
190,0.9442515254765496,0.9501546444694374
200,0.941913643035432,0.9522370774698528
210,0.9397571234027271,0.954444917538044
220,0.940694237090249,0.9579835303676748
230,0.940743358743415,0.954825464715144
240,0.9351162694659951,0.9618929371718542
