epoch,train_loss,dev_loss
0,1.3045001040592312,1.3182142850784568
10,1.2538064221426946,1.2736980894568561
20,1.2524200344509853,1.2715291483016546
30,1.2501675948625028,1.2694401230762138
40,1.238498050415904,1.261772087745113
50,1.2384703505913606,1.2558778733965263
60,1.2500769917975831,1.2698617344348908
70,1.2494045723286604,1.2684664988587722
80,1.2492689115173998,1.267709334927462
90,1.2489400039064258,1.2677077524011253
100,1.2477919995834361,1.2663595401401742
110,1.2477118719012086,1.2667872368320197
120,1.2486844907435521,1.2667328574332963
130,1.2482202130217883,1.2668541987051816
140,1.2457845461469563,1.2643753966376614
150,1.246700319460327,1.2658892587441837
160,1.2449941880399091,1.2641326334432297
170,1.2424300028385922,1.260763584064107
180,1.248511656735057,1.2667081073585518
190,1.2485755020327334,1.2668026180729575
200,1.248183525058598,1.2666501139566781
210,1.24757170989912,1.2661263011700454
220,1.2470926470092272,1.2659228033094625
230,1.2461135552585914,1.2654183370179048
240,1.2413023563289487,1.2651410888929873
250,1.2377878828885047,1.2658845839527835
260,1.2358122320631764,1.2600305476837994
270,1.2166121522016622,1.2432452588791896
280,1.2110757773986223,1.2381238296329227
290,1.195821993988217,1.2203310412729778
300,1.1863768074083814,1.207764093653307
310,1.1702810368761556,1.1935652575058413
320,1.1794921902923243,1.2109465180733923
330,1.1524206351285233,1.1737157112162198
340,1.1484291430609088,1.171165864834247
350,1.1319311831971361,1.1538865230603674
360,1.120610048658332,1.1426829307208068
370,1.1266074891412923,1.149172384129052
380,1.1121997965062398,1.1348572651628908
390,1.1068859049651378,1.1297249929872564
400,1.1034700357119134,1.1264072244678
