epoch,train_loss,dev_loss
0,1.304320362683956,1.3180506791200968
10,1.2479523030689024,1.2690308699048374
20,1.2063511518177297,1.2308884661895394
30,1.1871445316716371,1.208170395924704
40,1.1573962528437378,1.1809470951745098
50,1.1323001641515564,1.1550238815230218
60,1.1295990716118516,1.1525663239696347
70,1.1224295368440103,1.1460156894070905
80,1.1134595949163804,1.1367743163336017
90,1.102630889388749,1.12556081106562
100,1.093892369580417,1.1166488067838929
110,1.0895615847994042,1.112411646407912
120,1.087087106268816,1.1099133150277072
130,1.0854770524364075,1.1084306246187714
140,1.0847290294299115,1.107900500909699
150,1.0826506510749345,1.1058695913858538
160,1.081568401118454,1.1047509975714611
170,1.0817184276444125,1.1050968432193282
180,1.0803495860422523,1.1038382695659774
190,1.0794823149362864,1.1029426292197477
200,1.0789308475657924,1.1025396383315158
210,1.078686316326376,1.1023267201157936
220,1.0783767508234636,1.1020418299766668
230,1.0782378519269604,1.1019555447283804
240,1.0779771762958532,1.1017463581763467
250,1.0778778463630443,1.1017271645158224
260,1.0775982483747424,1.1014928152525034
270,1.0773572718104196,1.1013234351900378
280,1.0772087484740525,1.1012033209135434
290,1.0775130943251605,1.1015412621538134
300,1.0769087247359743,1.1010004665553719
310,1.076642210687733,1.100837535539743
320,1.0768078618203523,1.1009276016574248
330,1.076274979073245,1.100530214957679
340,1.0761076458887084,1.1004087177863389
350,1.0759227148287704,1.1002269016962039
360,1.0772868200151169,1.1014546089514756
370,1.075750725896858,1.1003026258306559
380,1.0756389386131964,1.1000545903454475
390,1.075331684092231,1.0998518202716454
400,1.0752328310385644,1.0997966767502527
