epoch,train_loss,dev_loss
0,1.302382216104991,1.3162295627996468
10,1.2470098602298556,1.2713239738685442
20,1.1882764601229896,1.2091385134147061
30,1.1488118291288807,1.1717554010749414
40,1.1339349177032496,1.1566444227345154
50,1.1299515032433862,1.1530408799718566
60,1.1254975006467447,1.1487294887063462
70,1.1200972413690582,1.1433951951451067
80,1.1146577235339983,1.1379613215383342
90,1.1076823480598201,1.1308112647120514
100,1.0998651785010745,1.1227363786976379
110,1.0938519294720794,1.1165897503127138
120,1.0898614758419942,1.1125361898041093
130,1.0875254051430596,1.110286797649479
140,1.0895086555752322,1.1126542426089236
150,1.087569720236892,1.110343991115118
160,1.0841114087935149,1.1072159713953966
170,1.083110197182989,1.1062930652849376
180,1.0816856099934793,1.1050570219608116
190,1.0809628100037787,1.1043894749377383
200,1.0804458626875877,1.1039409993422775
210,1.080182125798179,1.1037297750679538
220,1.0799382662907986,1.1035337115450745
230,1.0797225443278198,1.1033589367140597
240,1.0794888370733415,1.103151306090062
250,1.0792523488675816,1.102958408705931
260,1.0790114939764066,1.1027874693751012
270,1.0788763285246583,1.102693663618443
280,1.078613632190721,1.1024695862728493
290,1.078487602374291,1.1023767820202846
300,1.0782837077327765,1.1022286346183185
310,1.0780282750812862,1.102088467546662
320,1.0778617967141801,1.101944718022016
330,1.0777055011423688,1.1018460676974584
340,1.0775915230292858,1.1017632055333944
350,1.0773659762059793,1.1015703089757118
360,1.0771112863694425,1.1013833790549212
370,1.077313284080547,1.1015553363002195
380,1.07704767667986,1.1013959560530708
390,1.0766941733786186,1.1010925593100673
400,1.0765554415344076,1.1010091047285202
