epoch,train_loss,dev_loss
0,1.6246597960777502,1.6198569373711016
10,1.6247746844235609,1.6199676676459391
20,1.624464997074068,1.6196420498490043
30,1.6246490894167531,1.6198428285510886
40,1.6246365321230838,1.6198381841638376
50,1.6246381433130346,1.6198377193457745
60,1.6246928205522895,1.6198989005071938
70,1.624599489132194,1.620815824536022
80,1.6245197254060881,1.619766632710497
90,1.6225506054484482,1.6181765234417387
100,1.6178028881423183,1.6188088634749447
110,1.615081063706652,1.6185802617843212
120,1.608492290646574,1.629791332973367
130,1.6220452665619034,1.6206698036637264
140,1.5973854297090608,1.66151042847248
150,1.6118568588044921,1.6199335719070782
160,1.5815469326855895,1.7650396315445935
170,1.5826098346821325,1.6232374147991595
180,1.5680426514765675,1.8653949039560087
190,1.5603515864780182,2.0149796485798728
200,1.5523890446464952,2.0548194442425074
210,1.5642824222262959,2.418901808983656
220,1.5301488580583467,2.122579540009957
230,1.6115349983993532,1.616939794304798
240,1.5551847040010167,1.6975562421200192
250,1.5515556544277118,1.8931455690066585
260,1.5104528890410232,1.924560986765186
270,1.5108107449892219,1.8750983941638166
280,1.530957167086623,1.7464065639787034
290,1.479989638393276,2.064469626848354
