epoch,train_loss,dev_loss
0,1.386885787791124,1.3181141225027482
10,1.3351803779293738,1.2536193369744606
20,1.2973205263411511,1.1759419718874382
30,1.2884145312521775,1.187722583407078
40,1.2829926557443898,1.1756471900589833
50,1.281348095750944,1.1783259847492233
60,1.2800437529614546,1.1767665142656556
70,1.2792616009631725,1.1772507066073918
80,1.2784266194493463,1.1758537474495627
90,1.2777804854963417,1.1760087877488963
100,1.277106692624074,1.1752810724082976
110,1.2767619772524403,1.1749989766389486
120,1.2764243826847763,1.1748445399099172
130,1.2760722322095832,1.174533459280138
140,1.275725415569203,1.1742956720605835
150,1.275375806125041,1.1740282181900494
160,1.275020818654839,1.1737342669455824
170,1.2746606321295983,1.1734196242173431
180,1.274285642743954,1.173078854126796
190,1.273876949003212,1.1727131644380884
200,1.2734159479521745,1.1722743097727728
210,1.2731104051275897,1.1719546337831241
220,1.2727118029308513,1.1715382079978491
230,1.2721278922734138,1.1709093999250837
240,1.2710425688819458,1.1697379604586533
250,1.267457376805906,1.165929427165126
260,1.2768990519285335,1.1652465465467148
270,1.273842640432767,1.1797683969088957
280,1.270222803740397,1.1686369035836097
290,1.2690763660282136,1.1677064437261335
