epoch,train_loss,dev_loss
0,1.6672097648419588,1.611973514194132
10,1.6592644632246627,1.6019632256035692
20,1.654042483057872,1.594458471194846
30,1.650045628951859,1.5891777724734033
40,1.6440891062464522,1.5830822052093967
50,1.6325067251984704,1.5724196581987189
60,1.6014543196631468,1.5556830504393433
70,1.4804325637186155,1.618355179436866
80,1.3113653357506068,2.0154259933322356
90,1.297695334149507,2.1864260833721043
100,1.2867579494858365,2.0987154942380175
110,1.2869631975899667,2.0574753712099345
120,1.2874931266532674,2.013007726154989
130,1.2880204929618437,1.9824201084081234
140,1.2880949666843347,1.9673567089193467
150,1.2867822702858742,1.9639456506173678
160,1.2872139351459777,1.963154095636647
170,1.286284584650494,1.9513637189990394
180,1.2850708340566406,1.9633552861292773
190,1.2867044893092894,1.9706439519702943
200,1.2863425239915347,1.9590222228121648
210,1.2851638974021646,1.9497629887346193
220,1.2852940654707488,1.9462340469352346
230,1.2841684319717477,1.948984594331091
240,1.2840557665996633,1.9482756356393682
250,1.2841049960128317,1.957307913396174
260,1.2845309657386796,1.960668964616943
270,1.283834720529622,1.9571617498558378
280,1.284925069320034,1.9433170657510628
290,1.2845207346012673,1.961169350215404
