epoch,train_loss,dev_loss
0,1.7553709823981312,1.7487690604769976
10,1.7553911946041603,1.7487663559356923
20,1.7553712618843513,1.7487509083978223
30,1.7553777718591836,1.7487555767890381
40,1.755413058344139,1.7487846469303017
50,1.7553645881115634,1.7487468088492495
60,1.7553750861269404,1.7487536323122619
70,1.7553638093222381,1.7487575842246437
80,1.7553953184153492,1.7487695334099014
90,1.7553597640434349,1.7487502359898528
100,1.7554126992398398,1.7487842603431163
110,1.7553764131132148,1.7487545873592047
120,1.7553589866054973,1.7487459536228092
130,1.7553661422884308,1.7487611518207455
140,1.7554944530166532,1.748858076209152
150,1.7553933414491127,1.7487678877431396
160,1.755359321065414,1.7487491431179707
170,1.7553607389757049,1.748752276588327
180,1.755363158746758,1.748756505153556
190,1.7553797269200777,1.7487798685659854
200,1.7553609782416209,1.7487527328384123
210,1.7553588376195797,1.7487464486506672
220,1.75538420191548,1.7487605291257282
230,1.755378811412331,1.7487787140991986
240,1.755359167087043,1.7487456869526643
250,1.755361250919574,1.7487454482152056
260,1.7553818999936097,1.748758723081657
270,1.7553943480269163,1.7487687240363001
280,1.7553588427764926,1.748746425609734
290,1.7554124515839575,1.7487840433580735
