epoch,train_loss,dev_loss
0,1.2460347293414682,1.2459612684101742
10,1.0869220797020436,1.0906817842976666
20,1.0821642001582863,1.0864184154148089
30,1.0812985151607535,1.0865372260762793
40,1.0786736066710876,1.0852333371635232
50,1.0765702535063186,1.0856288142630601
60,1.0735932868215334,1.0872119371538738
70,1.069813591931874,1.0892023051581041
80,1.068436871328371,1.0954177821612465
90,1.0637865540593843,1.0979212774148428
100,1.0572064090932924,1.1060589896814657
110,1.0488957554093379,1.1172095774323285
120,1.0440805076093553,1.1238911430140954
130,1.0399776366708036,1.1378383059553723
140,1.0368331014143277,1.149236279033454
150,1.0434049212117713,1.1531084818421102
160,1.020915255226473,1.1617352792323872
170,1.0164802492491365,1.1831293275845651
180,1.0172119656545597,1.185002696578628
190,1.0162417610538204,1.1936399995200295
200,1.0236267181075007,1.219632871477357
210,1.0163225460648837,1.2289992289102625
220,1.005558103638375,1.2220647849735824
230,1.031502198643715,1.2346126532138944
240,1.0442117641933775,1.2553814949158963
250,1.0297168797501837,1.255825033698995
260,1.0023140197195144,1.2506927332947104
270,1.0015269964265692,1.2548634012902795
280,1.0043655057583916,1.2681657560806263
290,1.006254373088341,1.271257320191106
