epoch,train_loss,dev_loss
0,1.9183448935479153,1.8987749661872468
10,1.9179920844736729,1.8987030242018827
20,1.9175932250070664,1.8988951579986773
30,1.9176354409035694,1.8988180819275937
40,1.9175677292029685,1.8990354667653333
50,1.9178123857133413,1.8987135565425353
60,1.9175748884479191,1.899171530060873
70,1.9175711479206414,1.8991383839670335
80,1.9177053396958312,1.8996354179815718
90,1.9177328609586966,1.8997041063696234
100,1.9177358414233612,1.8997113302669706
110,1.9176205704313158,1.8993861696135839
120,1.9176566867580302,1.899502080569777
130,1.9177387649430966,1.8997183763023329
140,1.9178078489679058,1.8998761539779392
150,1.9175847525845024,1.8992344531239402
160,1.917602988347585,1.8993194470659536
170,1.917691677715354,1.8995997644992604
180,1.9177849765087593,1.8998255570842955
190,1.9176033871997025,1.8993210891230512
200,1.9175937074913487,1.8992791467176984
210,1.9175771297230435,1.8991880510966193
220,1.9175683471668319,1.8990229454450245
230,1.9176402979412226,1.899452017542794
240,1.9175923032932034,1.899272594185785
250,1.917604089245643,1.8988695026745486
260,1.9176204753500954,1.899385833365454
270,1.9175673263911144,1.899070154393014
280,1.9176127158217355,1.899357569019726
290,1.9175970492335173,1.8992942084963358
